Carrier,Origin City,Destination City,Month,Aircraft,Seats,Passengers,Distance,Departures Performed,Departures Scheduled
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",2,676,44,37,589,1,1
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",4,629,50,0,599,1,1
SkyWest Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",4,629,50,37,589,1,1
SkyWest Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,673,70,0,646,1,1
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",4,673,76,71,646,1,1
ExpressJet Airlines Inc.,"Chicago, IL","Charlotte, NC",5,675,50,36,599,1,1
American Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",5,694,150,144,589,1,1
SkyWest Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",9,673,70,0,589,1,1
Air Wisconsin Airlines Corp,"Chicago, IL","Raleigh/Durham, NC",10,629,50,49,646,1,1
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",7,838,175,167,632,1,1
American Airlines Inc.,"Chicago, IL","Charlotte, NC",6,694,150,150,599,1,1
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",10,631,70,52,536,1,1
SkyWest Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,673,70,0,646,1,1
American Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",8,614,160,106,589,1,1
American Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",8,699,187,62,589,1,1
ExpressJet Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",9,675,50,49,589,1,1
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",1,631,65,43,607,1,1
American Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",2,699,187,121,589,1,1
PSA Airlines Inc.,"Chicago, IL","Charlotte, NC",2,638,76,57,599,1,1
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",3,614,166,128,646,1,1
Envoy Air,"Chicago, IL","Charlotte, NC",3,675,50,50,599,1,1
Air Wisconsin Airlines Corp,"Chicago, IL","Charlotte, NC",1,629,50,43,599,1,1
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",2,634,358,137,599,2,2
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,655,280,125,646,2,2
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",1,677,140,127,646,2,2
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",10,677,140,116,646,2,2
American Airlines Inc.,"Chicago, IL","Charlotte, NC",8,694,300,256,599,2,2
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",9,631,130,50,607,2,2
SkyWest Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",7,673,140,0,646,2,2
ExpressJet Airlines Inc.,"Chicago, IL","Charlotte, NC",2,675,100,65,599,2,2
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",2,629,100,38,599,2,2
SkyWest Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,673,152,78,646,2,2
ExpressJet Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",3,675,100,90,589,2,2
American Airlines Inc.,"Chicago, IL","Charlotte, NC",5,694,300,247,599,2,2
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",9,629,100,60,599,2,2
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",9,838,350,338,632,2,2
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,614,332,245,646,2,2
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Charlotte, NC",1,631,140,116,599,2,2
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",1,698,256,107,599,2,2
American Airlines Inc.,"Chicago, IL","Charlotte, NC",4,698,256,234,599,2,2
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",5,631,128,87,607,2,2
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,698,384,291,646,3,3
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",5,614,498,285,646,3,3
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",6,612,378,346,599,3,3
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",6,614,525,419,584,3,3
ExpressJet Airlines Inc.,"Chicago, IL","Charlotte, NC",1,675,150,106,599,3,3
ExpressJet Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",1,675,150,139,589,3,3
American Airlines Inc.,"Chicago, IL","Charlotte, NC",4,694,450,394,599,3,3
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",6,677,140,119,646,2,3
SkyWest Airlines Inc.,"Chicago, IL","Wilmington, NC",4,629,150,46,760,3,3
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",8,612,252,233,599,2,3
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",7,614,525,498,632,3,3
American Airlines Inc.,"Chicago, IL","Charlotte, NC",8,698,384,318,599,3,3
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",3,634,537,316,646,3,3
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",3,698,384,374,646,3,3
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,614,664,359,646,4,4
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,698,512,402,646,4,4
ExpressJet Airlines Inc.,"Chicago, IL","Charlotte, NC",6,675,200,184,599,4,4
ExpressJet Airlines Inc.,"Chicago, IL","Charlotte, NC",8,675,200,140,599,4,4
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",3,698,512,449,646,4,4
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",8,677,280,267,646,4,4
ExpressJet Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",10,675,200,102,589,4,4
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",7,677,280,273,646,4,4
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",5,698,512,398,646,4,4
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",6,694,600,372,646,4,4
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",6,838,700,637,584,4,4
ExpressJet Airlines Inc.,"Chicago, IL","Charlotte, NC",7,675,200,195,599,4,4
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",1,614,664,387,599,4,4
Trans States Airlines,"Chicago, IL","Greensboro/High Point, NC",5,675,200,160,589,4,4
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,698,640,460,646,5,5
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",1,634,895,453,599,5,5
American Airlines Inc.,"Chicago, IL","Charlotte, NC",3,694,750,641,599,5,5
American Airlines Inc.,"Chicago, IL","Charlotte, NC",3,698,640,529,599,5,5
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",9,694,600,436,646,4,5
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",9,614,875,729,632,5,5
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",10,838,875,789,632,5,5
American Airlines Inc.,"Chicago, IL","Charlotte, NC",7,698,640,585,599,5,5
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,634,895,468,646,5,5
American Airlines Inc.,"Chicago, IL","Charlotte, NC",6,698,768,605,599,6,6
Trans States Airlines,"Chicago, IL","Greensboro/High Point, NC",10,675,300,280,589,6,6
ExpressJet Airlines Inc.,"Chicago, IL","Greensboro/High Point, NC",2,675,300,274,589,6,6
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",10,638,456,273,607,6,6
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",1,614,1050,832,584,6,6
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",7,612,882,812,599,7,7
Republic Airline,"Chicago, IL","Charlotte, NC",3,673,456,314,599,6,7
American Airlines Inc.,"Chicago, IL","Charlotte, NC",5,698,1024,591,599,8,8
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,612,1008,704,646,8,8
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",7,612,1008,945,646,8,8
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",1,694,1200,600,599,8,8
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",6,614,1575,1451,632,9,9
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,634,1611,850,646,9,9
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",2,698,1024,517,599,8,9
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,698,1280,615,646,10,10
American Airlines Inc.,"Chicago, IL","Charlotte, NC",2,698,1280,1001,599,10,10
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,634,1790,722,646,10,10
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,614,1648,697,646,10,10
American Airlines Inc.,"Chicago, IL","Charlotte, NC",1,698,1280,850,599,10,11
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",3,673,836,597,646,11,11
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",9,634,1790,711,646,10,11
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",2,673,912,622,646,12,12
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",8,698,1536,1260,646,12,12
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,698,1408,683,646,11,12
SkyWest Airlines Inc.,"Chicago, IL","Wilmington, NC",5,629,600,264,760,12,12
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",6,631,840,804,599,12,12
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",1,673,988,907,646,13,13
Envoy Air,"Chicago, IL","Raleigh/Durham, NC",8,673,1064,582,646,14,14
Trans States Airlines,"Chicago, IL","Greensboro/High Point, NC",4,675,750,645,589,15,15
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,655,2240,1461,646,16,16
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,612,2000,1255,646,16,16
Envoy Air,"Chicago, IL","Raleigh/Durham, NC",6,673,1064,696,646,14,17
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Charlotte, NC",6,631,1120,1042,599,16,17
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,694,2550,1926,646,17,17
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",8,694,2550,2240,599,17,17
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",6,694,2550,2346,599,17,19
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",10,614,3325,2965,632,19,19
Envoy Air,"Chicago, IL","Wilmington, NC",8,631,1296,1121,760,20,20
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,634,3580,2016,646,20,20
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",3,614,3500,1530,584,20,20
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",3,614,3500,3137,632,20,20
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",6,673,1596,1417,646,21,21
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Charlotte, NC",7,631,1400,1268,599,20,21
Republic Airline,"Chicago, IL","Charlotte, NC",10,673,1596,1218,599,21,21
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,612,2598,1958,646,21,21
Republic Airline,"Chicago, IL","Charlotte, NC",2,673,1520,1002,599,20,21
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",3,612,2748,2418,646,22,22
Republic Airline,"Chicago, IL","Charlotte, NC",4,673,1672,1285,599,22,22
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",8,612,2772,2497,646,22,22
Envoy Air,"Chicago, IL","Raleigh/Durham, NC",7,673,1672,790,646,22,22
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",8,634,4117,2711,646,23,23
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",8,614,4025,3632,632,23,23
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",10,673,1748,1519,599,23,23
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Charlotte, NC",8,631,1470,1240,599,21,24
Envoy Air,"Chicago, IL","Wilmington, NC",6,631,1424,1234,760,22,24
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",5,612,3150,2604,646,25,25
Republic Airline,"Chicago, IL","Charlotte, NC",4,677,1750,1492,599,25,25
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Charlotte, NC",9,631,1680,1349,599,24,25
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,694,3900,2349,646,26,26
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",5,694,3600,2194,646,24,26
United Air Lines Inc.,"Chicago, IL","Charlotte, NC",7,694,3900,3568,599,26,26
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",7,673,2052,1924,646,27,27
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",6,612,3276,2839,646,26,27
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",6,614,4482,3284,646,27,27
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",5,612,3718,2131,584,26,27
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",8,673,2052,1927,646,27,27
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,698,3456,2934,646,27,27
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",10,673,1976,1758,646,26,27
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,694,4200,2714,646,28,28
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",4,612,4147,2593,584,29,28
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,612,3528,2907,646,28,28
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,694,4200,2843,646,28,28
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",2,631,1890,1695,646,27,28
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",4,614,5075,4423,632,29,29
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",7,673,2204,2017,599,29,29
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",5,614,5250,4706,632,30,29
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,614,4814,3112,646,29,29
American Airlines Inc.,"Chicago, IL","Charlotte, NC",2,694,3900,2972,599,26,29
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",3,694,4350,3104,646,29,29
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",9,655,3920,2305,646,28,30
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",9,631,1890,1727,646,27,30
Republic Airline,"Chicago, IL","Raleigh/Durham, NC",9,673,2128,1686,646,28,30
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",6,631,2030,1855,646,29,30
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",8,655,3920,2890,646,28,30
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",7,614,4980,3913,646,30,30
Republic Airline,"Chicago, IL","Charlotte, NC",5,673,2204,1827,599,30,30
Republic Airline,"Chicago, IL","Charlotte, NC",7,673,2204,1932,599,29,31
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",5,631,2100,1950,646,30,31
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",6,634,5549,3574,646,31,31
Envoy Air,"Chicago, IL","Wilmington, NC",7,631,2005,1767,760,31,31
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",1,631,2170,1942,646,31,31
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,655,4200,2927,646,30,31
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",7,631,2170,1985,646,31,31
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",6,655,4200,3109,646,30,31
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",7,655,4200,2956,646,30,31
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",8,631,2100,1910,646,30,31
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,655,4200,2810,646,30,31
Republic Airline,"Chicago, IL","Charlotte, NC",9,673,2356,1826,599,31,32
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",4,614,5600,4238,584,32,32
Republic Airline,"Chicago, IL","Charlotte, NC",6,673,2204,1951,599,29,33
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",9,614,5312,2671,646,32,33
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",6,673,2584,2341,599,34,34
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",5,634,6265,4157,646,35,35
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",5,614,5950,4949,584,34,35
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",5,655,4620,3299,646,33,35
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",8,614,5810,4020,646,35,35
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",10,631,2380,2278,646,34,35
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",9,698,4480,3088,646,35,36
Republic Airline,"Chicago, IL","Charlotte, NC",8,673,2432,2105,599,32,37
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",4,631,2660,2385,646,38,38
Republic Airline,"Chicago, IL","Charlotte, NC",1,673,2888,2244,599,38,38
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",2,673,2888,1950,599,38,39
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",8,673,3040,2720,599,40,40
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",1,673,3040,1932,599,40,41
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",3,612,5863,4576,584,41,41
Republic Airline,"Chicago, IL","Charlotte, NC",6,677,2870,2698,599,41,42
Air Wisconsin Airlines Corp,"Chicago, IL","Wilmington, NC",4,629,2050,1242,760,41,42
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",4,631,3010,2746,599,43,43
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",9,673,3496,2882,599,46,47
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Charlotte, NC",10,631,3360,2905,599,48,48
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",9,675,2500,1634,589,50,50
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",2,612,6149,3441,584,43,50
United Air Lines Inc.,"Chicago, IL","Raleigh/Durham, NC",7,634,8771,6788,646,49,50
Republic Airline,"Chicago, IL","Charlotte, NC",8,677,3570,3335,599,51,52
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",1,612,6721,3862,584,47,52
Air Wisconsin Airlines Corp,"Chicago, IL","Wilmington, NC",5,629,2350,1737,760,47,52
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",3,673,4028,3273,599,53,53
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",6,612,7436,5687,584,52,53
Republic Airline,"Chicago, IL","Charlotte, NC",1,677,3780,2921,599,54,54
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",10,675,2700,1959,589,54,54
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",4,673,4104,3605,599,54,54
GoJet Airlines LLC d/b/a United Express,"Chicago, IL","Raleigh/Durham, NC",3,631,3780,3442,646,54,54
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",2,675,2500,1748,589,50,55
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",10,629,2700,2385,607,54,55
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",2,629,2550,2209,607,51,56
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",2,629,2650,2270,536,53,56
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",4,629,2750,2122,607,55,57
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",5,673,4180,3731,599,55,57
Republic Airline,"Chicago, IL","Charlotte, NC",9,677,3990,3222,599,57,57
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",9,629,2800,2041,607,56,58
Republic Airline,"Chicago, IL","Charlotte, NC",7,677,4060,3670,599,58,58
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",5,629,2950,2557,607,59,59
Air Wisconsin Airlines Corp,"Chicago, IL","Wilmington, NC",6,629,2850,2245,760,57,59
Air Wisconsin Airlines Corp,"Chicago, IL","Wilmington, NC",10,629,2950,2106,760,59,59
Republic Airline,"Chicago, IL","Charlotte, NC",2,677,4200,3017,599,60,60
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",4,675,3000,2275,589,60,60
Air Wisconsin Airlines Corp,"Chicago, IL","Wilmington, NC",9,629,2350,1463,760,47,60
Air Wisconsin Airlines Corp,"Chicago, IL","Wilmington, NC",7,629,3000,2503,760,60,60
SkyWest Airlines Inc.,"Chicago, IL","Charlotte, NC",5,631,4130,3803,599,59,60
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",6,629,2550,2263,607,51,60
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",3,629,3050,2577,607,61,61
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",1,629,2700,2231,607,54,61
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",2,629,2850,2090,589,57,61
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",3,675,3050,2450,589,61,62
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",7,612,8437,6583,584,59,62
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",8,629,3000,2358,607,60,62
Air Wisconsin Airlines Corp,"Chicago, IL","Wilmington, NC",8,629,3000,2327,760,60,62
PSA Airlines Inc.,"Peoria, IL","Charlotte, NC",7,629,2950,2417,607,59,62
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",1,614,9760,5997,646,61,62
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",10,612,9009,6992,632,63,63
American Airlines Inc.,"Chicago, IL","Charlotte, NC",1,694,9450,6692,599,63,65
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",1,629,3200,2505,589,64,65
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",1,675,3250,2197,589,65,66
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",4,629,3300,2756,589,66,67
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",3,612,9438,6919,632,66,67
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",2,614,10880,6649,646,68,70
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",1,629,3400,2653,536,68,70
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",5,675,3500,2730,589,70,70
Republic Airline,"Chicago, IL","Charlotte, NC",10,677,5040,4546,599,72,72
American Airlines Inc.,"Chicago, IL","Charlotte, NC",5,614,11360,9783,599,71,73
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",8,612,10296,7908,632,72,73
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",2,612,9581,6402,632,67,74
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",8,675,3650,2904,589,73,76
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",9,612,9581,6602,632,67,76
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",4,612,10725,6507,632,75,77
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",9,612,10010,6454,584,70,78
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",7,675,4000,3305,589,80,80
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",4,614,12960,9597,646,81,81
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",8,612,11297,8250,584,79,81
Envoy Air,"Chicago, IL","Greensboro/High Point, NC",6,675,3950,3194,589,79,82
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",9,614,12320,8133,646,77,83
American Airlines Inc.,"Chicago, IL","Charlotte, NC",2,614,12960,10080,599,81,83
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",6,614,13120,10794,646,82,84
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",7,614,13440,10711,646,84,84
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",3,614,13440,9884,646,84,84
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",5,612,11726,7613,632,82,84
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",5,614,13280,10037,646,83,84
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",3,629,4200,3432,536,84,85
Republic Airline,"Chicago, IL","Charlotte, NC",3,677,6020,5148,599,86,86
Southwest Airlines Co.,"Chicago, IL","Charlotte, NC",10,612,12441,8477,584,87,87
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",10,614,13808,10463,646,86,88
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",3,629,4350,3405,589,87,88
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",1,612,11726,7781,632,82,89
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",5,629,4250,3395,589,85,89
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",6,629,4100,3419,589,82,89
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",4,629,4500,3837,536,90,90
American Airlines Inc.,"Chicago, IL","Raleigh/Durham, NC",8,614,14400,11127,646,90,90
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",5,629,4250,3648,536,85,90
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",7,629,4650,3932,589,93,93
American Airlines Inc.,"Chicago, IL","Charlotte, NC",3,614,15040,13564,599,94,94
American Airlines Inc.,"Chicago, IL","Charlotte, NC",1,614,14880,10225,599,93,94
American Airlines Inc.,"Chicago, IL","Charlotte, NC",10,614,16196,13652,599,101,101
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",8,629,4950,4052,589,99,103
American Airlines Inc.,"Chicago, IL","Charlotte, NC",9,614,16172,11427,599,101,103
American Airlines Inc.,"Chicago, IL","Charlotte, NC",6,614,16640,15104,599,104,108
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",8,629,5100,4677,536,102,108
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",6,612,14586,11685,632,102,109
American Airlines Inc.,"Chicago, IL","Charlotte, NC",1,699,20383,13568,599,109,110
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",10,629,5650,4496,589,113,113
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",6,629,5450,4985,536,109,114
American Airlines Inc.,"Chicago, IL","Charlotte, NC",8,614,18240,15387,599,114,115
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",7,629,5750,5280,536,115,117
Air Wisconsin Airlines Corp,"Chicago, IL","Greensboro/High Point, NC",9,629,5700,4044,589,114,117
Southwest Airlines Co.,"Chicago, IL","Raleigh/Durham, NC",7,612,16874,13808,632,118,118
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",10,629,5800,4659,536,116,118
SkyWest Airlines Inc.,"Chicago, IL","Asheville, NC",9,629,5800,4420,536,116,118
American Airlines Inc.,"Chicago, IL","Charlotte, NC",4,699,22247,17431,599,119,119
American Airlines Inc.,"Chicago, IL","Charlotte, NC",7,614,19200,16772,599,120,122
